CODE_TIERS_EDI,CODE_ARTICLE,FAMILLE,SS_FAMILLE,LIBELLE,UNITE,NUM_CPT,
CHAMP_CERE,3013401,000,000,SAINFOIN DOUBLE EN COSSE AMBRA,EA,6012000,Semences
CHAMP_CERE,3013406,000,000,RGH IBEX 4N DT-10KG,KGM,6012000,Semences
CHAMP_CERE,3013411,000,000,RADIS AN CARDINAL-10KG,KGM,6012000,Semences
CHAMP_CERE,3013420,000,000,MOUTARDE OR CADOR-25KG,KGM,6012000,Semences
CHAMP_CERE,3013459,000,000,EMULSOL-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3013460,000,000,FIGHTER-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3013461,000,000,FONGIL FL-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3013484,000,000,STABILAN 750-10L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3013486,000,000,VEGECAR-1L,LTR,6022000,Produits d'entretien et fournitures
CHAMP_CERE,3013495,000,000,FET PR PREVAL-5KG,KGM,6012000,Semences
CHAMP_CERE,3013516,000,000,"JACHERE FLEURIE BOCAGE-0,4KG",NAR,6012000,Semences
CHAMP_CERE,3013595,000,000,"SUCCESS 4-0,1L",NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,3013604,000,000,"SUCCESS 4-0,5L",NAR,6013000,Produits de santé des végétaux
CHAMP_CERE,3013644,000,000,VESCE VELUE-10KG,KGM,6012000,Semences
CHAMP_CERE,3013673,505,100,RUSTI NOURRICE GR VRAC,TNE,6014000,Aliments
CHAMP_CERE,3013674,505,653,TOURTEAUX DE SOJA 48 % ETAT SA,EA,6014000,Aliments
CHAMP_CERE,3013705,000,000,FLEXITY-5L,EA,6013000,Produits de santé des végétaux
CHAMP_CERE,3013706,000,000,BELL-5L,LTR,6013000,Produits de santé des végétaux
CHAMP_CERE,3013723,000,000,CEDAFER ELITE-10KG,KGM,6014000,Aliments
