Année	Mois	Prlt	Germes	Inhib	M.G.	M.P.	Cellules	Butyriques	Cryo	Lipolyse	IGG	Urée	Salmon	Listéria	Staph	Coliformes	Pseudom	E-coli
2005	5	3	7	NEG	4250	3620	214		0,521			306						
2005	4	1	5	NEG	4540	3730	221		0,521			306						
2005	4	2	5	NEG	4330	3700	149	450	0,52			266						
2005	4	3	5	NEG	4440	3620	186		0,521			297						
2005	3	1	6	NEG	4800	3730	218	690	0,523			245						
2005	3	2	13	NEG	4950	3790	186	790	0,526	0,35		278						
2005	3	3	6	NEG	4700	3650	159		0,526			289						
2005	2	1	10	NEG	4710	3640	244	3500	0,523			248						
2005	2	2	7	NEG	4620	3630	234	3500	0,525			257						
2005	2	3	7	NEG	4660	3710	307		0,525			263						
2005	1	1	7	NEG	4550	3600	334	2400	0,525			258						
2005	1	2	22	NEG	4480	3640	252	1700	0,525			243						
2005	1	3	10	NEG	4580	3650	229		0,524			281						
2004	12	1	27	NEG	4520	3670	266	790	0,527			264						
2004	12	2	23	NEG	4480	3700	292	3500	0,526	0,35		301						
2004	12	3	5	NEG	4510	3630	355		0,526			293						
2004	11	1	18	NEG	4540	3630	395	1100	0,527			350						
2004	11	2	6	NEG	4430	3590	244	200	0,527			295						
2004	11	3	27	NEG	4500	3600	356		0,524			201						
2004	10	1	5	NEG	4320	3600	243	790	0,524			273						
2004	10	2	5	NEG	4320	3640	177	450	0,526			319						
2004	10	3	22	NEG	4490	3630	451		0,521			300						
2004	9	1	11	NEG	4120	3320	325		0,527			248						
2004	9	2	14	NEG	4360	3440	361	450	0,524	0,35		274						
2004	9	3	6	NEG	4210	3540	344		0,516			310						
2004	8	1	5	NEG	4100	3390	252	200	0,528			262						
2004	8	2	3	NEG	4040	3430	266		0,523			320						
2004	8	3	6	NEG	4060	3350	278		0,524			260						
2004	7	1	5	NEG	3930	3490	241		0,532			203						
2004	7	2	99	NEG	4160	3500	243	450	0,535			202						
2004	7	3	5	NEG	4070	3400	287		0,532			261						
2004	6	1	5	NEG	3970	3550	271		0,521			338						
2004	6	2	45	NEG	4000	3420	198	80	0,524	0,5		198						
2004	6	3	5	NEG	4090	3580	272		0,53			181						
2004	5	1	8	NEG	4210	3630	171	80	0,526			365						
2004	5	2	57	NEG	4200	3500	295		0,523			295						
2004	5	3	5	NEG	4220	3510	236		0,528			397						
2004	4	1	6	NEG	4370	3750	200	80	0,524			336						
2004	4	2	15	NEG	4240	3710	124		0,524			348						
2004	4	3	15	NEG	4350	3640	216		0,53			269						
2004	3	1	10	NEG	4530	3640	237	5400	0,525	0,35		313						
2004	3	2	5	NEG	4390	3670	163	450	0,526			323						
2004	3	3	18	NEG	4160	3680	147		0,523			333						
2004	2	1	23	NEG	4560	3630	195	450	0,527			329						
2004	2	2	26	NEG	4700	3710	269	1300	0,524			267						
2004	2	3	14	NEG	4540	3630	192		0,527			306						
2004	1	1	53	NEG	4640	3770	399	450	0,523			186						
2004	1	2	13	NEG	4610	3650	427	9200	0,529			331						
2004	1	3	27	NEG	4530	3600	486		0,524			297						
2003	12	1	21	NEG	4620	3720	304	2400	0,522			285						
2003	12	2	15	NEG	4580	3790	321	690	0,526			278						
2003	12	3	129	NEG	4560	3800	290		0,527	0,35		192						
2003	11	1	10	NEG	4670	3780	432	450	0,527			320						
2003	11	2	14	NEG	4640	3710	186	450	0,524			300						
2003	11	3	9	NEG	4660	3700	301		0,528			320						
2003	10	1	5	NEG	4400	3680	319	200	0,525			311						
2003	10	2	10	NEG	4550	3870	314	450	0,527			272						
2003	10	3	60	NEG	4630	3820	351		0,527			240						
2003	9	1	5	NEG	4040	3530	444		0,525	0,35		204						
2003	9	2	6	NEG	4230	3510	554	200	0,524			243						
2003	9	3	5	NEG	4420	3670	314		0,527			342						
2003	8	1	17	NEG	3960	3310	270		0,524			230						
2003	8	2	10	NEG	4010	3180	276	200	0,523			350						
2003	8	3	5	NEG	3910	3410	630		0,528			206						
2003	7	1	5	NEG	3960	3200	403		0,532			189						
2003	7	2	6	NEG	3880	3200	261		0,528			222						
2003	7	3	5	NEG	3900	3230	335		0,529			273						
2003	6	1	5	NEG	4280	3400		450	0,519			280						
2003	6	2	5	NEG	4230	3410	376		0,528			279						
2003	6	3	9	NEG	4100	3200	360		0,529	0,43		256						
2003	5	1	12	NEG	4190	3560	311	450	0,525			230						
2003	5	2	5	NEG	4190	3530	363		0,531			216						
2003	5	3	5	NEG	4320	3380	278		0,528			252						
2003	4	1	5	NEG	4260	3620	370		0,528			180						
2003	4	2	5	NEG	4300	3620	319	450	0,528			206						
2003	4	3	5	NEG	4170	3450	256		0,529			258						
2003	3	1	7	NEG	4410	3600	279	450	0,525	0,35		264						
2003	3	2	24	NEG	4530	3730	395	450	0,52			180						
2003	3	3	5	NEG	4450	3680	236		0,527			260						
2003	2	1	7	NEG	4530	3700	538	790	0,53			283						
2003	2	2	14	NEG	4730	3750	242	450	0,527			247						
2003	2	3	6	NEG	4730	3710	419		0,523			213						
2003	1	1	10	NEG	4590	3720	326	1700	0,527			319						
2003	1	2	24	NEG	4730	3850	557	1300	0,521			230						
2003	1	3	7	NEG	4590	3790	322		0,529			225						
2002	12	1	14	NEG	4650	3720	272	450	0,532			280						
2002	12	2	13	NEG	4590	3770	223	790	0,531	0,43		305						
2002	12	3	11	NEG	4680	3710	282		0,531			296						
2002	11	1	5	NEG	4610	3750	317	450	0,53			297						
2002	11	2	8	NEG	4470	3680	363	450	0,528			313						
2002	11	3	7	NEG	4640	3680	170		0,529			341						
2002	10	1	5	NEG	4270	3560	172	200	0,523			324						
2002	10	2	5	NEG	4470	3680	322	80	0,519			275						
2002	10	3	11	NEG	4630	3800	303		0,531			260						
2002	9	1	5	NEG	4150	3450	219	80	0,528	0,35		383						
2002	9	2	9	NEG	4170	3450	213		0,53			330						
2002	9	3	10	NEG	4280	3440	179		0,525			284						
2002	8	1	5	NEG	3940	3250	141		0,532			375						
2002	8	2	9	NEG	4010	3300	166	200	0,529			323						
2002	8	3	9	NEG	4050	3340	142		0,528			360						
2002	7	1	16	NEG	3950	3280	169		0,532			314						
2002	7	2	5	NEG	3840	3280	147	450	0,529			294						
2002	7	3	5	NEG	3810	3170	230		0,527			346						
2002	6	1	5	NEG	3930	3340	177		0,528			323						
2002	6	2	28	NEG	4320	3500	173	180	0,53			371						
2002	6	3	6	NEG	3850	3210	211		0,529	0,35		339						
2002	5	1	14	NEG	4210	3440	159		0,527			295						
2002	5	2	5	NEG	4470	3710	187	80	0,527			317						
2002	5	3	12	NEG	4190	3430	191		0,53			418						
2002	4	1	25	NEG	4410	3510	397	1300	0,522			334						
2002	4	2	6	NEG	4300	3560	287		0,524			317						
2002	4	3	6	NEG	4590	3650	261		0,522			291						
2002	3	1	9	NEG	4510	3650	227	690	0,519			210						
2002	3	2	8	NEG	4540	3650	297	1300	0,523	0,35		267						
2002	3	3	31	NEG	4450	3600	467		0,521			302						
2002	2	1	10	NEG	4580	3620	167	3500	0,521			211						
2002	2	2	8	NEG	4510	3600	163	1300	0,518			265						
2002	2	3	5	NEG	4570	3640	190		0,516			245						
2002	1	1	28	NEG	4760	3760	206	2400	0,524			246						
2002	1	2	11	NEG	4630	3710	187	5400	0,522			271						
2002	1	3	13	NEG	4710	3740	164		0,524			243						
2001	12	1	5	NEG	4900	3810	217	2400	0,522			239						
2001	12	2	9	NEG	4710	3720	286	3500	0,522			281						
2001	12	3	5	NEG	4900	3780	354		0,524	0,35		249						
2001	11	1	13	NEG	4530	3610	271	2200	0,526			307						
2001	11	2	5	NEG	4550	3680	471	1400	0,526			248						
2001	11	3	5	NEG	4720	3830	264		0,526			231						
2001	10	1	6	NEG	4580	3660	290	790	0,521			224						
2001	10	2	9	NEG	4580	3730	231	1700	0,526			219						
2001	10	3	9	NEG	4570	3750	256		0,527			246						
2001	9	1	5	NEG	4060	3430	232		0,534			235						
2001	9	2	5	NEG	4260	3600	243	1100	0,531	0,35		283						
2001	9	3	5	NEG	4480	3650	321		0,526			209						
2001	8	1	11	NEG	3790	3320	120	450	0,528			381						
2001	8	2	5	NEG	3860	3320	215		0,532			347						
2001	8	3	11	NEG	3810	3320	142		0,533			337						
2001	7	1	6	NEG	3910	3220	222	1700	0,529			385						
2001	7	2	5	NEG	3900	3250	193		0,525			342						
2001	7	3	7	NEG	3970	3360	242		0,53			313						
2001	6	1	9	NEG	4040	3290	215	450	0,527	0,35		353						
