date contrôle	N° nationnal	race	nom	n° de travail	n° lactation	n° contrôle	lait	%	tb	tp	etat	leucocyte	date vélâge	jours depuis vélâge	lait depuis vélaĝe	tb	tp	lait standard depuis vélaĝe
02/10/13	FR1735138656	56	DORA 	8656	3	6	17,4	+ 	41,4	37,2		98	12/03/2013 	0	0	0	0	0
02/10/13	FR1735138766	56	FLECHE 	8766	1	9	14		46,7	38,3		98	21/12/2012 	0	0	0	0	0
02/10/13	FR1735138641	56	DEXTROSE 	8641	3	2	26,6	+ 	42,6	34,6		102	22/07/2013 	0	0	0	0	0
02/10/13	FR1735138587	56	CLAQUETTE 	8587	4	6	19,8	+ 	40,5	33		104	05/03/2013 	0	0	0	0	0
02/10/13	FR1735138701	56	ELIANE 	8701	2	7	18,6	+ 	41	34,5		105	07/02/2013 	0	0	0	0	0
02/10/13	FR1735138629	56	DOROTHEE 	8629	3	7	18	+ 	42,5	35,8		120	23/02/2013 	0	0	0	0	0
02/10/13	FR1735138783	56	GUIPURE 	8783	1	7	14,8	+ 	43	31,2		130	14/02/2013 	0	0	0	0	0
02/10/13	FR1735138637	56	DOUCEUR 	8637	3	6	19,6	+ 	41,8	36,9		145	05/03/2013 	0	0	0	0	0
02/10/13	FR1735138781	56	GUIMAUVE 	8781	1	8	14		52,2	34,2		161	27/01/2013 	0	0	0	0	0
02/10/13	FR1735138664	56	EUROPE 	8664	2	11	14,8		44,5	41,3		170	26/09/2012 	0	0	0	0	0
02/10/13	FR1735138776	56	FRILEUSE 	8776	1	8	16,4		41,5	36,3		177	25/01/2013 	0	0	0	0	0
02/10/13	FR1735138748	56	FRIVOLE 	8748	1	9	13		49,1	40,8		180	08/12/2012 	0	0	0	0	0
02/10/13	FR1735138606	56	DEBBIE 	8606	3	8	21		41	33,5		183	27/01/2013 	0	0	0	0	0
02/10/13	FR1735138657	56	DJELLABA 	8657	3	5	13	+ 	45,4	36,4		235	03/04/2013 	0	0	0	0	0
02/10/13	FR1735138368	56	VIBRAYE 	8368	7	8	18		47,5	37,5		249	22/01/2013 	0	0	0	0	0
02/10/13	FR1735138676	56	EVE 	8676	2	9	13,8		36,9	34,5		258	07/12/2012 	0	0	0	0	0
02/10/13	FR1735138643	56	DEAUVILLE 	8643	3	4	18,2	- 	41	37,6		294	06/05/2013 	0	0	0	0	0
02/10/13	FR1735138508	56	BULGARIE 	8508	6	1	29		40,1	34,7		323	02/09/2013 	0	0	0	0	0
02/10/13	FR1735138492	56	BRIVE 	8492	5	7	12,4		29,7	38,7		338	04/02/2013 	0	0	0	0	0
02/10/13	FR1735138648	56	DUCHESSE 	8648	3	6	19	+ 	41,7	36,6		343	16/03/2013 	0	0	0	0	0
02/10/13	FR1735138599	56	CONCHITA 	8599	3	7	13,2	- 	41	42		1720	07/02/2013 	0	0	0	0	0
02/09/13	FR1735138508	56	BULGARIE 	8508	6							  	02/09/2013 	0	0	0	0	0
02/09/13	FR1735138555	56	CATHEDRALE 	8555	4	9						  	13/11/2012 	0	0	0	0	0
02/09/13	FR1735138561	56	CORDOUE 	8561	4	9						  	03/11/2012 	0	0	0	0	0
02/09/13	FR1735138580	56	CAULERPA 	8580	3	11						  	24/09/2012 	0	0	0	0	0
02/09/13	FR1735138621	56	DALLAS 	8621	2	10						  	11/10/2012 	0	0	0	0	0
02/09/13	FR1735138630	56	DEBACLE 	8630	2	11						  	23/09/2012 	0	0	0	0	0
02/09/13	FR1735138662	56	DOUMA 	8662	3							  	28/08/2013 	0	0	0	0	0
02/09/13	FR1735138666	56	EPOPEE 	8666	2	10						  	03/10/2012 	0	0	0	0	0
02/09/13	FR1735138670	56	EMILIE 	8670	2	11						  	08/09/2012 	0	0	0	0	0
02/09/13	FR1735138674	56	ENIMIE 	8674	2	9						  	06/11/2012 	0	0	0	0	0
02/09/13	FR1735138682	56	ESTIVE 	8682	2	10						  	15/10/2012 	0	0	0	0	0
02/09/13	FR1735138690	56	ESTANCIA 	8690	2	11						  	30/08/2012 	0	0	0	0	0
02/09/13	FR1735138709	56	ESTONIE 	8709	1	10						  	02/10/2012 	0	0	0	0	0
02/09/13	FR1735138728	56	FIUME 	8728	1	10						  	12/10/2012 	0	0	0	0	0
02/09/13	FR1735138741	56	FATMA 	8741	1	10						  	02/10/2012 	0	0	0	0	0
02/09/13	FR1735138745	56	FABIOLA 	8745	1	10						  	28/09/2012 	0	0	0	0	0
02/09/13	FR1735138771	56	FAUVETTE 	8771	1							  	06/11/2012 	0	0	0	0	0
02/09/13	FR1735138689	56	ESSENCE 	8689	1	10	13,4		42,5	33,8		62	03/10/2012 	0	0	0	0	0
02/09/13	FR1735138759	56	FIFI 	8759	1	8	10,6		42,1	32,8		66	13/12/2012 	0	0	0	0	0
02/09/13	FR1735138780	56	GEORGIE 	8780	1	7	11,8		42,3	32		100	22/01/2013 	0	0	0	0	0
02/09/13	FR1735138753	56	FILANTE 	8753	1	1	21,2		36,4	31,4		102	29/07/2013 	0	0	0	0	0
02/09/13	FR1735138687	56	EVA 	8687	2	5	16,6		43,4	35,2		104	25/03/2013 	0	0	0	0	0
02/09/13	FR1735138692	56	ELECTRA 	8692	2	7	10,8		42,4	36,4		107	04/01/2013 	0	0	0	0	0
02/09/13	FR1735138656	56	DORA 	8656	3	5	17,2		41,1	35,4		108	12/03/2013 	0	0	0	0	0
02/09/13	FR1735138768	56	FOGGIA 	8768	1	7	13,2		43,9	35,8		119	05/01/2013 	0	0	0	0	0
02/09/13	FR1735138748	56	FRIVOLE 	8748	1	8	11		46,1	37,6		120	08/12/2012 	0	0	0	0	0
02/09/13	FR1735138652	56	DROME 	8652	3	4	21,4		42,7	30,2		122	14/04/2013 	0	0	0	0	0
02/09/13	FR1735138641	56	DEXTROSE 	8641	3	1	25		39,1	30,5		123	22/07/2013 	0	0	0	0	0
02/09/13	FR1735138587	56	CLAQUETTE 	8587	4	5	18,2	- 	37,5	31,9		129	05/03/2013 	0	0	0	0	0
02/09/13	FR1735138701	56	ELIANE 	8701	2	6	16,6		38,7	34		134	07/02/2013 	0	0	0	0	0
02/09/13	FR1735138536	56	CYSTEINE 	8536	5	1	30		40,9	28,3		139	22/07/2013 	0	0	0	0	0
02/09/13	FR1735138763	56	FIDJI 	8763	1	7	12	- 	38,9	33,7		146	10/01/2013 	0	0	0	0	0
02/09/13	FR1735138582	56	CHALOSSE 	8582	4	7	19,2		39,4	34,6		150	13/01/2013 	0	0	0	0	0
02/09/13	FR1735138762	56	FREGATE 	8762	1	8	14		40	34		155	10/12/2012 	0	0	0	0	0
02/09/13	FR1735138766	56	FLECHE 	8766	1	8	10,6		45,2	36,6		165	21/12/2012 	0	0	0	0	0
02/09/13	FR1735138637	56	DOUCEUR 	8637	3	5	18,6		42,6	34,4		167	05/03/2013 	0	0	0	0	0
02/09/13	FR1735138777	56	FIERTE 	8777	1	7	9,6		47	34,8		175	18/01/2013 	0	0	0	0	0
02/09/13	FR1735138629	56	DOROTHEE 	8629	3	6	17		37,3	32,9		192	23/02/2013 	0	0	0	0	0
02/09/13	FR1735138749	56	FOURMI 	8749	1	8	15,4		36,3	34,9		194	02/12/2012 	0	0	0	0	0
02/09/13	FR1735138606	56	DEBBIE 	8606	3	7	17		42,5	31,7		195	27/01/2013 	0	0	0	0	0
02/09/13	FR1735138676	56	EVE 	8676	2	8	13,6		37,1	31,2		195	07/12/2012 	0	0	0	0	0
02/09/13	FR1735138783	56	GUIPURE 	8783	1	6	13,4		38,6	29,5		211	14/02/2013 	0	0	0	0	0
02/09/13	FR1735138664	56	EUROPE 	8664	2	10	13,2		43,5	37,8		225	26/09/2012 	0	0	0	0	0
02/09/13	FR1735138368	56	VIBRAYE 	8368	7	7	18,4		38,2	34,9		237	22/01/2013 	0	0	0	0	0
02/09/13	FR1735138492	56	BRIVE 	8492	5	6	13,4		34,9	37		261	04/02/2013 	0	0	0	0	0
02/09/13	FR1735138466	56	ALSACE 	8466	5	9	10		46,4	40		273	25/11/2012 	0	0	0	0	0
02/09/13	FR1735138657	56	DJELLABA 	8657	3	4	12,8		40,2	34,4		392	03/04/2013 	0	0	0	0	0
02/09/13	FR1735138648	56	DUCHESSE 	8648	3	5	17,4		39,5	34,2		979	16/03/2013 	0	0	0	0	0
02/09/13	FR1735138599	56	CONCHITA 	8599	3	6	16,4		32,6	34,6		1058	07/02/2013 	0	0	0	0	0
02/09/13	FR1735138643	56	DEAUVILLE 	8643	3	3	21,6	- 	28,9	32,4		1248	06/05/2013 	0	0	0	0	0
02/09/13	FR1735138572	56	CORALIE 	8572	4	1	22		39,2	36,1		1762	06/08/2013 	0	0	0	0	0
